Site,Thalassia,Syringodium,Thalassia.per,Syringodium.per,Penicillus,Halimeda,Rhipocephalus,Udotea,Avrainvillea.longicaulis,Sponge,Avrainvillea.rawsonii,Cyanobacteria,Batophora.oerstedii,AnimalCounts,Notes
R11,"11,11,10,8","0,0,0,0",4,0.1,0.1,,0.1,0.1,,,,,,,
R12,"13,7,11,12","0,0,1,0",3,0.5,0.1,,0.1,,,,,,,sea cucumber; sea biscuit,
R18,"7,9,9,9","0,0,0,0",3,0.5,,,,,,,,,0.1,white urchin,
R19,"8,3,12,5","0,0,0,0",3,0.5,0.1,,,,,,,,0.1,2 white urchins,
R20,"11,7,6,10","1,0,3,2",3,0.5,,,,,,,,,,sea biscuit; white urchin,
R21,"7,4,9,8","0,0,0,1",4,0.1,,,,,,,,,,2 white urchins,
R14,"5,2,9,8","1,1,0,2",3,0.5,,,,,0.1,,,1,,white urchin,
R13,"14,11,17,15","0,1,2,0",4,0.1,,,,,,0.1,,,,sea biscuit; 3 white urchins,
R17,"12,16,8,6","0,1,1,1",3,0.5,,0.1,,,,,,,0.1,sea biscuit; white urchin,
R16,"15,11,11,7","0,0,1,0",4,0.1,,,,,,,,,,sea cucumber; 2 white urchins,
R9,"13,13,8,13","0,0,0,1",4,0.1,0.1,,,,,,,,,sea biscuit,
R10,"10,7,7,9","0,2,4,6",4,0.5,,,,,0.1,,,,0.1,2 sea biscuits; white urchin,
R22,"0,5,3,8","0,1,3,0",3,0.5,,,0.1,,,,,,,sea biscuit; 3 white urchins,
R15,"9,1,9,10","0,0,0,0",3,0,,,,,,,,,,sea biscuit; 3 white urchins,
R8,"6,8,3,3","0,1,0,2",2,0.1,,,,,,,,1,,,
R1,"6,6,9,10","0,1,0,0",4,0.5,,,0.1,,,0.1,,,0.1,2 white urchins,
R2,"7,10,13,4","0,6,0,0",4,0.1,,,0.1,,,,,,,4 white urchins,
R3,"8,5,7,7","3,1,0,2",3,0.5,,,0.1,,0.1,,,,,,
R4,"12,9,13,6","5,0,2,1",4,0.5,0.1,,0.1,,,,,,,sea biscuit; white urchin; hydroids,
R5,"9,10,7,8","1,0,0,5",4,0.5,,,,,,,0.1,,,,
R6,"10,8,12,5","0,5,0,0",4,0.5,0.1,,,,,,,,,sea biscuit; white urchin,
R7,"5,7,8,6","1,0,0,0",4,0.1,,,,,,,,,0.1,2 sea biscuits; lots of tiny hermit crabs around diffusers,
,,,,,,,,,,,,,,,Lots of urchins everywhere within the experimental grid
,,,,,,,,,,,,,,,"Little hermit crabs all over around the pods, but only piled up near R7"
,,,,,,,,,,,,,,,It seemed like there was more algae between the pods than in the BB quads; there were other species around that weren't in the BB quads
