bottle,n,p,np,day,hrs,chla.init,chla,nh4.init,nh4,srp.init,srp
1,50,9,12.28529521,1,23.7,0.081666667,0.1,1.964077316,2.44670927,5.257665455,10.42474835
2,30,22,3.015481552,1,23.86666667,0.081666667,0.05,1.964077316,0.080701655,5.257665455,6.420426943
3,30,13,5.103122626,1,24.08333333,0.081666667,0.05,1.964077316,0.629374455,5.257665455,19.23425545
4,50,22,5.025802587,1,23.95,0.081666667,0.05,1.964077316,0.100490944,5.257665455,5.779735518
5,50,1,110.5676569,1,24.66666667,0.081666667,0.05,1.964077316,12.24478243,5.257665455,15.3901069
6,30,1,66.34059414,1,24.71666667,0.081666667,0.05,1.964077316,0.562382544,5.257665455,12.34682263
7,50,13,8.505204377,1,24.4,0.081666667,0.063333333,1.964077316,-0.045270459,5.257665455,5.299216949
8,10,13,1.701040875,1,24.71666667,0.081666667,0.06,1.964077316,0.021813753,5.257665455,7.381464081
9,10,22,1.005160517,1,24.81666667,0.081666667,0.036666667,1.964077316,-0.210525789,5.257665455,3.216969817
10,10,1,22.11353138,1,25,0.081666667,0.05,1.964077316,-0.172664006,5.257665455,4.498352667
11,30,9,7.371177127,1,24.8,0.081666667,0.05,1.964077316,-0.285437108,5.257665455,3.857661242
12,10,2,11.05676569,1,25.05,0.081666667,0.05,1.964077316,0.55608763,5.257665455,3.216969817
13,10,4,5.528382845,1,25.13333333,0.081666667,0.04,1.964077316,1.731741218,5.257665455,3.05679696
14,50,4,27.64191423,1,24.98333333,0.081666667,0.05,1.964077316,1.909272552,5.257665455,1.935586966
15,10,9,2.457059042,1,25.06666667,0.081666667,0.04,1.964077316,1.095579578,5.257665455,16.51131689
16,10,17,1.300795964,1,25.25,0.081666667,0.04,1.964077316,-0.255857782,5.257665455,5.779735518
17,50,2,55.28382845,1,25.03333333,0.081666667,0.05,1.964077316,6.114773324,5.257665455,4.498352667
18,Control,Control,Control,1,25.56666667,0.081666667,0.04,1.964077316,0.224783184,5.257665455,0.654204116
