Site,avggrowtharea,avggrowthweight,avgepweightperarea,avgbites,avgbitespersa,avgnotop,avgbladearea,avgheight,avgnobitheight,ntrt,nfac,p,np,nstand,p.s,n,n.s,np.s,tshoots,sshoots,meanC,meandC,meanN,meandN,meanP,CN,CP,NP,species,d.2,D
R1,20.55,9.47893552396226e-4,5.382893757609879e-6,1.6,0.0023615325148425024,0.6,661.45,55.6,32.72222222222222,0.61,c,0.1,13.5,0.6470313473547308,0.1871475845216946,0.61,0.647,-0.18842400497294806,775,25,41.94,-8.27,1.93,-0.34,0.101,25.349315984520672,1070.7923265265742,42.24146825817485,5,0.7065972222222223,0.2934027777777777
R10,33.889880952380956,0.0014980507060732774,3.867119748698826e-6,2.2857142857142856,0.0030965429998491886,0.5952380952380952,823.1785714285714,67,60,0.11,a,0.13,1.9,-0.4990789297631497,0.40930119204744714,0.11,-0.499,-0.316345808827953,825,300,41.78,-8.25,1.8633333333333333,-0.6566666666666666,NA,26.15610128113275,NA,NA,4,0.7365323675871435,0.26346763241285653
R11,18.180555555555557,7.962798644421679e-4,5.094546845935126e-6,0.7777777777777778,8.708876224213298e-4,0,704.75,63.333333333333336,63.333333333333336,0.31,b,0.1,6.9,-0.040634818915997524,0.1871475845216946,0.31,-0.041,-0.26120710026976124,1000,0,41.55,-7.91,1.72,-0.81,0.099,28.17978719284317,1082.266040925491,38.40575635008183,5,0.8285123966942148,0.17148760330578516
R12,8.364583333333334,3.842238126392339e-4,5.58518282530861e-6,1.25,0.004690308209798603,0.3958333333333333,303.78125,31.3125,29.9375,0.61,c,0.03,45,0.6470313473547308,-0.33121083303839466,0.61,0.647,0.15894985894366012,1075,25,41.67,-7.47,1.71,-0.64,0.101,28.426442876550244,1063.8988136948583,37.42637861216528,4,0.6771365960555148,0.3228634039444852
R13,21.229166666666668,0.0011968719309563116,7.833589525843059e-6,3.7,0.004114351958922294,0.5666666666666667,793.225,64.5,40.75,0.31,b,0.13,5.3,-0.040634818915997524,0.40930119204744714,0.31,-0.041,-0.2788514870083826,1425,75,41.64,-7.44,1.59,0.19,0.08075,30.549824831508335,1329.7389430376647,43.5268925557375,3,0.9081632653061223,0.09183673469387765
R14,16.822916666666668,9.138197434441134e-4,6.966147869853688e-6,8.166666666666666,0.012628803875004656,0.5416666666666666,576.5833333333334,48.333333333333336,25.666666666666668,0.61,c,0.13,10.4,0.6470313473547308,0.40930119204744714,0.61,0.647,-0.222610004279027,600,100,41.62,-7.9,1.55,0.42,0.093,31.32315543498697,1154.0306017386945,36.842731382345946,4,0.4848771266540643,0.5151228733459357
R15,13.791666666666666,7.023307492817622e-4,4.500523205437956e-6,3.888888888888889,0.010032948851485016,0.6666666666666666,393.77777777777777,40.77777777777778,29.333333333333332,0.61,c,0.01,134.9,0.6470313473547308,-0.47931323805556303,0.61,0.647,1.1503438388199483,725,0,41.53,-8.11,1.64,0.64,0.078,29.540185008427937,1372.9841585003949,46.47852266695949,2,1,0
R16,34.42916666666667,0.0018237434762791269,4.6428229206081976e-6,4.8,0.004535747138313453,0.49166666666666664,1181.625,81.95,65.65,0.61,c,0.2,6.7,0.6470313473547308,0.9276596096075364,0.61,0.647,-0.2634126486120889,1100,25,41.86,-7.94,1.89,-1.55,0.104,25.836432602460913,1037.9204829308908,40.17274748805798,2,0.952409280190363,0.04759071980963703
R17,17.008333333333333,9.309349789802985e-4,8.025849951337607e-6,6,0.010071228223453327,0.48333333333333334,653.75,53.6,42.2,0.11,a,0.008,30.4,-0.4990789297631497,-0.4941234785572798,0.11,-0.499,-0.002055170046259887,1050,75,40.59,-7.51,1.58,0.45,0.076,29.967953920256324,1377.2210657785179,45.9564596716631,4,0.6771365960555148,0.3228634039444852
R18,12.6625,6.095594314428055e-4,4.393358609244309e-6,1.1,0.004880734956056644,0.6,306.225,37.25,34.4375,0.31,b,0.03,22.9,-0.040634818915997524,-0.33121083303839466,0.31,-0.041,-0.08476323288354755,850,0,40.95,-7.43,1.79,0.11,0.08,26.686769405383778,1319.9640924229807,49.461366880799424,3,0.714506172839506,0.285493827160494
