bottle,n,p,np,ntrt,nfac,nstand,p.s,np.s,n.s,hrs_1,hrs_2,hrs_3,chla.init,chla_1,chla_2,chla_3,nh4.init,nh4_1,nh4_2,nh4_3,srp.init,srp_1,srp_2,srp_3,growth_1,growth_2,growth_3,day1to3growth,day1to2growth,day2to3growth,day1to2srp,day2to3srp,day1to3srp,day1to2nh4,day2to3nh4,day1to3nh4
1,50,9,12.28529521,50,c,0.6091237526412396,-0.046849817840802846,-0.1330640969200306,0.609,23.7,23.46666667,23.7,0.081666667,0.1,0.1,0.25,1.964077316,2.44670927,11.40672553,46.72713733,5.257665455,10.42474835,49.88564761,17.62001591,7.7355835443038e-4,0,0.006329113924050633,0.003180212013909526,0,0.006329113924050633,1.6815724114088675,-1.36141905907173,0.1525498422507032,0.38181887466167347,1.4903127341772153,0.9388076619831232
2,30,22,3.015481552,30,b,0,0.8272032722578386,-0.3056759015619199,0,23.86666667,23.45,23.65,0.081666667,0.05,0.09,0.13,1.964077316,0.080701655,12.55633064,29.51853414,5.257665455,6.420426943,14.62507366,6.648403649,-0.0013268156562392713,0.0017057569296375264,0.0016913319238900638,0.0016985138004246287,0.0017057569296375264,0.0016913319238900638,0.3498783248187633,-0.33727991589852013,0.004840269766454347,0.5320097648187634,0.7172179069767443,0.6250070591295118
3,30,13,5.103122626,30,b,0,0.22208959449724067,-0.26680225139780006,0,24.08333333,23.43333333,23.61666667,0.081666667,0.05,0.09,0.22,1.964077316,0.629374455,11.20142744,41.41132564,5.257665455,19.23425545,6.940076777,19.21010464,-0.0013148789067563846,0.0017069701282655717,0.005504587155186367,0.0036131774707757703,0.0017069701282655717,0.005504587155186367,-0.5246448936592667,0.5195495212957587,-5.133009564292944e-4,0.45115446599589676,1.279177058393906,0.8667789837407015
4,50,22,5.025802587,50,c,0.6091237526412396,0.8272032722578386,-0.2682420162042105,0.609,23.95,23.46666667,23.55,0.081666667,0.05,0.08,0.23,1.964077316,0.100490944,12.75975821,33.36875127,5.257665455,5.779735518,8.748311338,3.30921731,-0.0013221990396659706,0.0012784090907274987,0.006369426751592357,0.0038284296346098243,0.0012784090907274987,0.006369426751592357,0.12650181049339468,-0.2309594067091295,-0.05254558400194642,0.5394574118267816,0.8751164781316346,0.707584409577626
5,50,1,110.5676569,50,c,0.6091237526412396,-0.5847286425168899,1.6970369646193222,0.609,24.66666667,23.43333333,23.53333333,0.081666667,0.05,0.07,0.15,1.964077316,12.24478243,19.18901416,29.97756283,5.257665455,15.3901069,4.679783575,4.104261677,-0.0012837837971238128,8.534850641327861e-4,0.003399433428243545,0.0021291696241489237,8.534850641327861e-4,0.003399433428243545,-0.4570550494960249,-0.024455604734342145,-0.24029478831657836,0.2963399031715988,0.4584369123878806,0.377560973793834
6,30,1,66.34059414,30,b,0,-0.5847286425168899,0.8734914869359238,0,24.71666667,23.41666667,23.53333333,0.081666667,0.05,0.08,0.19,1.964077316,0.562382544,4.387139148,15.60007673,5.257665455,12.34682263,4.981156002,1.242101958,-0.0012811867968602578,0.0012811387898532184,0.004674220963834875,0.002981895633652822,0.0012811387898532184,0.004674220963834875,-0.3145480410086053,-0.15888331633978514,-0.2365222720340788,0.16333480157105554,0.47647043556323937,0.3202916759531416
7,50,13,8.505204377,50,c,0.6091237526412396,0.22208959449724067,-0.2034525992640108,0.609,24.4,23.43333333,23.53333333,0.081666667,0.063333333,0.1,0.303333333,1.964077316,-0.045270459,10.51446576,31.78656512,5.257665455,5.299216949,6.63870435,3.945252804,-7.513661475409834e-4,0.0015647226318015253,0.008640226615954705,0.005110007097957417,0.0015647226318015253,0.008640226615954705,0.057161624517377205,-0.11445261528533324,-0.02882819329720769,0.45062885720492585,0.9039135706662766,0.6777537739570978
8,10,13,1.701040875,10,a,-0.6091237526412396,0.22208959449724067,-0.3301519035315894,-0.609,24.71666667,23.4,23.55,0.081666667,0.06,0.08,0.21,1.964077316,0.021813753,10.81674149,25.32257687,5.257665455,7.381464081,10.5565459,10.30560773,-8.766014968473903e-4,8.547008547008549e-4,0.005520169851380042,0.003194888178913738,8.547008547008549e-4,0.005520169851380042,0.13568725722222222,-0.010655548619957517,0.06228207985090522,0.4613216981623932,0.6159590394904458,0.5388873933333332
9,10,22,1.005160517,10,a,-0.6091237526412396,0.8272032722578386,-0.34310978691962934,-0.609,24.81666667,23.38333333,23.56666667,0.081666667,0.036666667,0.06,0.14,1.964077316,-0.210525789,2.68092976,13.7594594,5.257665455,3.216969817,16.38307949,3.78624393,-0.0018132975148672534,9.978617107623466e-4,0.0033946251763232503,0.0022009229605963795,9.978617107623466e-4,0.0033946251763232503,0.5630552961458383,-0.5345191891747498,0.012125114227902025,0.12365454951156873,0.4700931954073419,0.2975502702662407
10,10,1,22.11353138,10,a,-0.6091237526412396,-0.5847286425168899,0.04994600925252557,-0.609,25,23.38333333,23.58333333,0.081666667,0.05,0.04,0.09,1.964077316,-0.172664006,0.767211653,9.736383065,5.257665455,4.498352667,7.241449204,4.581288297,-0.0012666666799999997,-4.2765502500750614e-4,0.0021201413430558505,8.516678496595694e-4,-4.2765502500750614e-4,0.0021201413430558505,0.11730990181287385,-0.11279834236223298,0.0017658402415565548,0.04019425484535913,0.3803182224707164,0.21098042027835065
