bottle,n,p,np,ntrt,nfac,nstand,p.s,np.s,n.s,chla.init,nh4.init,srp.init,day1to3growth,day1to2growth,day2to3growth,day1to2srp,day2to3srp,day1to3srp,day1to2nh4,day2to3nh4,day1to3nh4,day,hrs,chla,nh4,srp,growth
1,50,9,12.28529521,50,c,0.6091237526412396,-0.046849817840802846,-0.1330640969200306,0.609,0.081666667,1.964077316,5.257665455,0.003180212013909526,0,0.006329113924050633,1.6815724114088675,-1.36141905907173,0.1525498422507032,0.38181887466167347,1.4903127341772153,0.9388076619831232,1,23.7,0.1,2.44670927,10.42474835,7.7355835443038e-4
1,50,9,12.28529521,50,c,0.6091237526412396,-0.046849817840802846,-0.1330640969200306,0.609,0.081666667,1.964077316,5.257665455,0.003180212013909526,0,0.006329113924050633,1.6815724114088675,-1.36141905907173,0.1525498422507032,0.38181887466167347,1.4903127341772153,0.9388076619831232,2,23.46666667,0.1,11.40672553,49.88564761,0
1,50,9,12.28529521,50,c,0.6091237526412396,-0.046849817840802846,-0.1330640969200306,0.609,0.081666667,1.964077316,5.257665455,0.003180212013909526,0,0.006329113924050633,1.6815724114088675,-1.36141905907173,0.1525498422507032,0.38181887466167347,1.4903127341772153,0.9388076619831232,3,23.7,0.25,46.72713733,17.62001591,0.006329113924050633
2,30,22,3.015481552,30,b,0,0.8272032722578386,-0.3056759015619199,0,0.081666667,1.964077316,5.257665455,0.0016985138004246287,0.0017057569296375264,0.0016913319238900638,0.3498783248187633,-0.33727991589852013,0.004840269766454347,0.5320097648187634,0.7172179069767443,0.6250070591295118,1,23.86666667,0.05,0.080701655,6.420426943,-0.0013268156562392713
2,30,22,3.015481552,30,b,0,0.8272032722578386,-0.3056759015619199,0,0.081666667,1.964077316,5.257665455,0.0016985138004246287,0.0017057569296375264,0.0016913319238900638,0.3498783248187633,-0.33727991589852013,0.004840269766454347,0.5320097648187634,0.7172179069767443,0.6250070591295118,2,23.45,0.09,12.55633064,14.62507366,0.0017057569296375264
2,30,22,3.015481552,30,b,0,0.8272032722578386,-0.3056759015619199,0,0.081666667,1.964077316,5.257665455,0.0016985138004246287,0.0017057569296375264,0.0016913319238900638,0.3498783248187633,-0.33727991589852013,0.004840269766454347,0.5320097648187634,0.7172179069767443,0.6250070591295118,3,23.65,0.13,29.51853414,6.648403649,0.0016913319238900638
3,30,13,5.103122626,30,b,0,0.22208959449724067,-0.26680225139780006,0,0.081666667,1.964077316,5.257665455,0.0036131774707757703,0.0017069701282655717,0.005504587155186367,-0.5246448936592667,0.5195495212957587,-5.133009564292944e-4,0.45115446599589676,1.279177058393906,0.8667789837407015,1,24.08333333,0.05,0.629374455,19.23425545,-0.0013148789067563846
3,30,13,5.103122626,30,b,0,0.22208959449724067,-0.26680225139780006,0,0.081666667,1.964077316,5.257665455,0.0036131774707757703,0.0017069701282655717,0.005504587155186367,-0.5246448936592667,0.5195495212957587,-5.133009564292944e-4,0.45115446599589676,1.279177058393906,0.8667789837407015,2,23.43333333,0.09,11.20142744,6.940076777,0.0017069701282655717
3,30,13,5.103122626,30,b,0,0.22208959449724067,-0.26680225139780006,0,0.081666667,1.964077316,5.257665455,0.0036131774707757703,0.0017069701282655717,0.005504587155186367,-0.5246448936592667,0.5195495212957587,-5.133009564292944e-4,0.45115446599589676,1.279177058393906,0.8667789837407015,3,23.61666667,0.22,41.41132564,19.21010464,0.005504587155186367
4,50,22,5.025802587,50,c,0.6091237526412396,0.8272032722578386,-0.2682420162042105,0.609,0.081666667,1.964077316,5.257665455,0.0038284296346098243,0.0012784090907274987,0.006369426751592357,0.12650181049339468,-0.2309594067091295,-0.05254558400194642,0.5394574118267816,0.8751164781316346,0.707584409577626,1,23.95,0.05,0.100490944,5.779735518,-0.0013221990396659706
